Sol,Index,Drive,Site X,Site Y,Site Z,Loc X,Loc Y,Loc Z,Shift X,Shift Y,Shift Z
286,9,0,0.0000,0.0000,0.0000,-534.8300,-709.3140,-4.5280,-534.8300,-709.3140,-4.5280
328,9,82,2.2600,-3.7190,0.2190,-532.7000,-712.7640,-4.3850,-534.9600,-709.0450,-4.6040
333,9,178,-1.2190,-3.4160,0.4250,-536.2620,-712.5570,-4.3510,-535.0430,-709.1410,-4.7760
335,9,276,-3.1620,-3.2300,0.4120,-538.1470,-712.3680,-4.3150,-534.9850,-709.1380,-4.7270
340,9,364,-20.9610,0.7180,1.1320,-556.0550,-708.4090,-3.5010,-535.0930,-709.1270,-4.6330
340,9,1554,104.6900,-115.6100,-0.3250,-432.8690,-824.7660,-4.7340,-537.5590,-709.1560,-4.4090
341,9,2818,306.9430,-170.8820,-6.8910,-232.6060,-880.6400,-10.7940,-539.5490,-709.7580,-3.9030
342,9,2858,318.6410,-176.4010,-7.2490,-221.1260,-886.0890,-11.2240,-539.7670,-709.6880,-3.9750
343,9,2982,323.4790,-189.4810,-6.2650,-205.0920,-899.2870,-10.0490,-528.5710,-709.8060,-3.7840
359,10,0,0.0000,0.0000,0.0000,56.6110,-233.3800,0.1910,56.6110,-233.3800,0.1910
360,10,1114,14.3520,189.4070,0.5150,72.2380,-45.7010,0.6880,57.8850,-235.1080,0.1730
361,11,0,0.0000,0.0000,0.0000,87.2620,-43.4570,1.1880,87.2620,-43.4570,1.1880
379,11,1110,-56.2780,139.5310,-0.0390,33.0490,94.8820,1.0760,89.3270,-44.6490,1.1150
380,11,2472,104.0970,306.6600,-1.2560,193.3500,258.9710,0.1540,89.2530,-47.6890,1.4100
381,12,0,0.0000,0.0000,0.0000,193.3500,258.9710,0.1540,193.3500,258.9710,0.1540
382,13,0,0.0000,0.0000,0.0000,452.8610,389.5960,-1.2920,452.8610,389.5960,-1.2920
383,13,1280,164.5940,149.5010,-0.1980,616.9690,536.0920,-0.7340,452.3750,386.5910,-0.5360
384,13,2448,171.6000,352.6890,1.7310,625.1690,737.5370,1.1400,453.5690,384.8480,-0.5910
385,14,0,0.0000,0.0000,0.0000,621.3420,750.5450,1.0890,621.3420,750.5450,1.0890
386,14,1176,65.9600,210.2040,0.7480,688.5800,958.1310,2.0220,622.6210,747.9270,1.2740
387,15,0,0.0000,0.0000,0.0000,601.2290,1176.5330,2.1690,601.2290,1176.5330,2.1690
388,15,1334,-184.0800,160.9380,3.4770,419.7400,1337.8900,5.2160,603.8200,1176.9520,1.7390
389,16,0,0.0000,0.0000,0.0000,199.9100,1403.0360,6.7200,199.9100,1403.0360,6.7200
394,17,0,0.0000,0.0000,0.0000,71.5030,1397.7580,7.7930,71.5030,1397.7580,7.7930
395,17,1064,-196.3670,-21.1870,6.3080,-123.1810,1376.2310,13.5580,73.1860,1397.4180,7.2500
396,18,0,0.0000,0.0000,0.0000,-277.3750,1348.1070,12.1670,-277.3750,1348.1070,12.1670
397,18,320,-45.4330,-34.8000,-0.0700,-322.3510,1313.5360,12.1260,-276.9180,1348.3360,12.1960
398,18,1622,-194.6480,-108.4950,-1.4380,-471.2670,1242.2070,11.4140,-276.6190,1350.7020,12.8520
399,19,0,0.0000,0.0000,0.0000,-664.1040,1151.7640,12.9190,-664.1040,1151.7640,12.9190
400,19,1126,-167.9230,-126.8620,2.0290,-830.9840,1026.4270,14.7360,-663.0610,1153.2890,12.7070
401,19,2066,-345.1210,-148.8900,5.2670,-1006.8370,1005.8230,17.9830,-661.7160,1154.7130,12.7160
402,20,0,0.0000,0.0000,0.0000,-1174.4140,947.7250,17.8510,-1174.4140,947.7250,17.8510
404,20,1422,-239.6020,-78.9840,4.8720,-1412.8300,870.8140,22.1790,-1173.2280,949.7980,17.3070
405,21,0,0.0000,0.0000,0.0000,-1636.2610,738.0270,20.0420,-1636.2610,738.0270,20.0420
407,21,1126,-181.2450,-101.5640,-1.9930,-1816.1100,638.2670,18.3590,-1634.8650,739.8310,20.3520
408,21,2560,-433.0260,-196.0500,0.4670,-2066.1940,545.6690,20.6390,-1633.1680,741.7190,20.1720
409,22,0,0.0000,0.0000,0.0000,-2275.1470,552.3800,24.3090,-2275.1470,552.3800,24.3090
413,22,412,-79.3510,15.0520,1.2860,-2353.3750,567.5740,25.3620,-2274.0240,552.5220,24.0760
413,22,532,-90.8680,-1.2120,1.2190,-2365.1760,551.7390,25.1570,-2274.3080,552.9510,23.9390
413,22,634,-100.0950,-18.9190,1.2280,-2374.2990,534.3200,24.8650,-2274.2040,553.2390,23.6370
413,22,788,-105.6850,-47.7640,1.0620,-2379.4260,505.5530,24.6350,-2273.7410,553.3170,23.5740
414,23,0,0.0000,0.0000,0.0000,-2520.8020,433.6150,25.1200,-2520.8020,433.6150,25.1200
415,23,824,-48.5680,-152.4070,4.3630,-2569.3600,283.2150,29.6320,-2520.7920,435.6220,25.2700
416,23,1180,-68.6590,-218.1220,10.0130,-2589.5670,218.0620,35.2290,-2520.9090,436.1840,25.2170
418,23,2096,-223.8990,-182.5090,21.4190,-2742.7060,255.6530,46.0480,-2518.8070,438.1620,24.6290
419,23,2532,-249.6180,-191.4340,24.1860,-2768.6250,246.6420,48.9990,-2519.0070,438.0760,24.8130
420,23,2872,-265.9500,-129.0990,21.5760,-2784.2890,308.1000,46.8380,-2518.3390,437.1990,25.2620
421,23,3142,-262.1640,-88.9380,18.4560,-2780.0290,347.8770,43.5100,-2517.8650,436.8150,25.0540
422,24,0,0.0000,0.0000,0.0000,-2780.9710,352.0430,43.4450,-2780.9710,352.0430,43.4450
426,24,902,114.6120,-23.0310,-8.7010,-2667.6630,328.9500,35.2930,-2782.2750,351.9810,43.9940
427,24,1328,175.5690,-33.9510,-13.6330,-2608.0030,318.3930,30.8100,-2783.5720,352.3440,44.4430
428,24,1970,219.5460,58.7170,-18.9150,-2563.2710,409.2210,25.9250,-2782.8170,350.5040,44.8400
430,24,1992,219.4530,58.7200,-18.9340,-2563.2710,409.2960,25.9250,-2782.7240,350.5760,44.8590
432,24,2770,347.4120,140.2490,-19.6350,-2437.4660,488.4170,24.8590,-2784.8780,348.1680,44.4940
433,24,3170,398.2420,186.7930,-19.6940,-2386.6650,534.7730,24.8530,-2784.9070,347.9800,44.5470
434,24,3290,403.3790,214.3840,-19.4760,-2381.7260,561.8810,25.2210,-2785.1050,347.4970,44.6970
436,24,3900,399.7780,327.5630,-18.3040,-2385.0440,672.9910,26.6780,-2784.8220,345.4280,44.9820
437,24,4232,414.7990,393.5980,-15.2670,-2369.2100,739.4220,29.9150,-2784.0090,345.8240,45.1820
439,24,4358,422.4910,411.3530,-13.7580,-2361.6320,756.4640,31.1550,-2784.1230,345.1110,44.9130
441,24,4412,424.4460,426.3680,-11.1970,-2360.1430,771.2430,33.4960,-2784.5890,344.8750,44.6930
441,24,4470,418.6950,426.5310,-10.8890,-2365.4020,771.4880,33.9070,-2784.0970,344.9570,44.7960
441,25,0,0.0000,0.0000,0.0000,-2378.5590,772.6000,34.2800,-2378.5590,772.6000,34.2800
443,25,94,-27.1650,-4.2700,-0.3970,-2405.4960,768.2830,33.7630,-2378.3310,772.5530,34.1600
443,25,214,422.4910,411.3530,-13.7580,-2440.9720,764.6450,33.9140,-2863.4630,353.2920,47.6720
448,25,446,-127.4890,-13.3380,0.2730,-2504.5910,759.7820,34.3300,-2377.1020,773.1200,34.0570
